Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Modal G-Code
9.75,G91,G28,Z0,M19,,,,10.53,0.61,,86.93548387,13.59677419,17.5,16.98387097,11.96774194,0,0,0,0,,0,,,,,,,,,,Face Milling
10.36,M5,,,,,,,5.13,0.31,,0,0,18,16.03125,9.90625,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
10.67,G04,X1.0000,,,,,,51.02,3.12,,0,0,16.9456869,16.30031949,9.587859425,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
13.79,G90,G17,G00,Y-31.5880,X-36.5740,,,53.91,0.97,12219.91837,0,0,63.30612245,55.01020408,10.33673469,-36.574,-31.588,-36.574,-31.588,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,Face Milling
14.76,G04,X1.0000,,,,,,3.52,0.95,156.25,13.83333333,2.916666667,6.635416667,3.666666667,10.16666667,-36.574,-31.588,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
15.71,G43,Z1.0000,H2,S1500,M3,,,1.95,0.64,14769.23077,1409.892308,14.33846154,6.015384615,3,21.84615385,-36.574,-31.588,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,Face Milling
16.35,G04,X1.0000,,,,,,3.08,0.92,0,1499,4,6.688172043,3.311827957,17.17204301,-36.574,-31.588,0,0,0,1,0,,0,0,0,0,0,Dwell,0,Face Milling
17.27,Z-1.0000,,,,,,,4.62,1.53,75.50649351,1499,4,6.396103896,3,8.207792208,-36.574,-31.588,0,0,0,-1,-2,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,Face Milling
18.8,G04,X1.0000,,,,,,3.84,1.27,0,1499,4,6.4140625,3,15.0625,-36.574,-31.588,0,0,0,-1,0,,0,0,0,0,0,Dwell,0,Face Milling
20.07,X30.0000,,,,,,,146.05,52.36,75.98548787,1502.467634,10.18063777,29.69409968,2.788810388,13.83692954,30,-31.588,66.574,0,66.574,-1,0,Conventional,63.4,4.9,1,317.07,317.07,Cut with Feed,66.574,Face Milling
72.43,G04,X1.0000,,,,,,1.05,0.96,0,1499,3.010309278,6.567010309,1.082474227,19,30,-31.588,0,0,0,-1,0,,0,0,0,0,0,Dwell,0,Face Milling
73.39,Y-28.4130,X31.5880,,,,,,24.49,3.1,68.56913183,1499.996785,7.305466238,25.48553055,7.874598071,16.19614148,31.588,-28.413,1.588,3.175,3.549981549,-1,0,Conventional,4.6,3.4,1,10.91,10.91,Cut with Feed,3.549981549,Face Milling
76.49,G04,X1.0000,,,,,,1.94,0.92,0,1499,3.053763441,5.580645161,2.086021505,20.6344086,31.588,-28.413,0,0,0,-1,0,,0,0,0,0,0,Dwell,0,Face Milling
77.41,X-31.5880,,,,,,,74.88,49.72,75.98471747,1502.265634,9.696762518,28.0355922,1.505730947,12.88698974,-31.588,-28.413,-63.176,0,63.176,-1,0,Climb,63.2,3,1,186.33,186.33,Cut with Feed,63.176,Face Milling
127.13,G04,X1.0000,,,,,,1.91,0.95,0,1499,3,12.21875,1.989583333,14.67708333,-31.588,-28.413,0,0,0,-1,0,,0,0,0,0,0,Dwell,0,Face Milling
