Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Modal G-Code
3.86,G17,G90,G21,G94,,,,1.98,0.32,,,,3.96969697,6,20.12121212,0,0,0,0,,0,,,,,,,,,,Face Milling
4.18,G91,G28,Z0,M19,,,,4.69,0.64,,122.5846154,22.15384615,5.215384615,7.215384615,19.89230769,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
4.82,G28,X0,Y0,,,,,49.1,0.93,12992.29787,0,0,86.41489362,52.23404255,14.0106383,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
5.75,G04,X1.0000,,,,,,32.38,2.15,0,0,0,3.680555556,14.99074074,15.85648148,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
7.9,G30,Z0.0000,,,,,,10.37,0.6,0,0,0,6.032786885,17,16,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
8.5,G04,X1.0000,,,,,,5.66,0.31,553.03125,0,0,10.53125,17.6875,15.96875,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
8.81,G90,G17,G00,Y-31.5880,X-36.5740,,,39.57,0.94,17510.71579,0,0,84.58947368,41.65263158,13.97894737,-36.574,-31.588,-36.574,-31.588,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,Face Milling
9.75,G04,X1.0000,,,,,,5.12,0.95,156.25,5.927083333,1.114583333,9,5.333333333,13.17708333,-36.574,-31.588,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
10.7,G43,Z1.0000,H2,S1500,M3,,,1.64,0.65,14772.72727,1033.590909,57.43939394,5,2.484848485,26.6969697,-36.574,-31.588,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,Face Milling
11.35,G04,X1.0000,,,,,,3.2,1.27,0,1499,3.2421875,5.0078125,2.5,16.4921875,-36.574,-31.588,0,0,0,1,0,,0,0,0,0,0,Dwell,0,Face Milling
12.62,Z-1.5000,,,,,,,4.71,1.87,75.59574468,1499,3,5.324468085,2.505319149,9.175531915,-36.574,-31.588,0,0,0,-1.5,-2.5,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,Face Milling
14.49,G04,X1.0000,,,,,,2.27,0.97,0,1499,3,4.540816327,2.316326531,16.46938776,-36.574,-31.588,0,0,0,-1.5,0,,0,0,0,0,0,Dwell,0,Face Milling
15.46,X30.0000,,,,,,,180.89,52.77,75.28040925,1505.309208,13.55589238,34.65119363,3.427245169,16.35107995,30,-31.588,66.574,0,66.574,-1.5,0,Conventional,63.4,4.9,1.5,317.07,475.605,Cut with Feed,66.574,Face Milling
68.23,G04,X1.0000,,,,,,1.1,0.94,0,1499,2.042105263,4.821052632,1.157894737,22.96842105,30,-31.588,0,0,0,-1.5,0,,0,0,0,0,0,Dwell,0,Face Milling
69.17,Y-28.4130,X31.5880,,,,,,24.01,2.8,75.72953737,1501.206406,8.982206406,28.47686833,8.544483986,18.45551601,31.588,-28.413,1.588,3.175,3.549981549,-1.5,0,Conventional,4.6,3.4,1.5,10.91,16.365,Cut with Feed,3.549981549,Face Milling
71.97,G04,X1.0000,,,,,,2.01,0.94,0,1499,2.378947368,5.873684211,2.115789474,24.65263158,31.588,-28.413,0,0,0,-1.5,0,,0,0,0,0,0,Dwell,0,Face Milling
72.91,X-31.5880,,,,,,,94.06,49.95,75.98478783,1501.958367,11.02982386,28.13550841,1.882706165,18.54583667,-31.588,-28.413,-63.176,0,63.176,-1.5,0,Climb,63.2,3,1.5,186.33,279.495,Cut with Feed,63.176,Face Milling
122.86,G04,X1.0000,,,,,,2.02,0.97,0,1499,2.020408163,7.683673469,2.06122449,23.64285714,-31.588,-28.413,0,0,0,-1.5,0,,0,0,0,0,0,Dwell,0,Face Milling
123.83,Y-25.2380,,,,,,,21.93,2.54,75.70196078,1499.039216,9.980392157,9.662745098,8.6,14.49803922,-31.588,-25.238,0,3.175,3.175,-1.5,0,Climb,4.5,3.1,1.5,10.55,15.825,Cut with Feed,3.175,Face Milling
