Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Modal G-Code
2.98,%,,,,,,,0.96,0.31,,,,5,3,,0,0,0,0,,0,,,,,,,,,,Face Milling
3.29,G91,G28,Z0,M19,,,,4.49,0.94,5118.031579,,,5.273684211,4.726315789,32.06315789,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
4.23,G28,X0,Y0,,,,,44.84,0.93,18938.3617,0,0,73,47.70212766,16,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
5.16,M5,,,,,,,6.13,0.3,0,0,0,10.90322581,19.77419355,16,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
5.46,G04,X1.0000,,,,,,50.83,3.15,56.01582278,0,0,8.155063291,16.08544304,16.60126582,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
8.61,G90,G17,G00,X-36.5740,Y-31.5880,,,61.11,0.98,17522.20202,0,0,58.62626263,61.72727273,14.68686869,-36.574,-31.588,-36.574,-31.588,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,Face Milling
9.59,G04,X1.0000,,,,,,2.53,0.94,157.8947368,13.87368421,3.210526316,4.694736842,2.663157895,15.12631579,-36.574,-31.588,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
10.53,G43,Z1.0000,H2,S1500,M3,,,1.95,0.64,14769.23077,1407.6,15.50769231,5.046153846,3,24.23076923,-36.574,-31.588,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,Face Milling
11.17,G04,X1.0000,,,,,,2.56,0.95,0,1499,4,5.666666667,2.666666667,17.77083333,-36.574,-31.588,0,0,0,1,0,,0,0,0,0,0,Dwell,0,Face Milling
12.12,Z-1.0000,,,,,,,3.81,1.58,75.52201258,1499,4,5.597484277,2.396226415,9.201257862,-36.574,-31.588,0,0,0,-1,-2,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,Face Milling
