Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Modal G-Code
2.17,G91,G28,Z0,M19,,,,4.25,0.62,7717.666667,,,7.476190476,6.746031746,38.66666667,0,0,0,0,,0,,,,,,,,,,Face Milling
2.79,G28,X0,Y0,,,,,32.75,0.62,17819.09524,,,62.57142857,51.98412698,16.49206349,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
3.41,G04,X1.0000,,,,,,58.68,3.42,51.59475219,,,6.002915452,17.10787172,15.99708455,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
6.83,G90,G17,G00,Y-31.5880,X-36.5740,,,30.67,0.95,11798,,,58.33333333,31.94791667,15,-36.574,-31.588,-36.574,-31.588,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,Face Milling
7.78,G04,X1.0000,,,,,,2.93,0.97,153.0612245,,,6.37755102,2.989795918,15.40816327,-36.574,-31.588,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
8.75,G43,Z1.0000,H2,S1500,M3,,,1.61,0.64,14769.23077,1402.538462,17.12307692,6,2.476923077,18.03076923,-36.574,-31.588,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,Face Milling
9.39,G04,X1.0000,,,,,,1.96,0.97,0,1499,5,5.683673469,2,17.47959184,-36.574,-31.588,0,0,0,1,0,,0,0,0,0,0,Dwell,0,Face Milling
10.36,Z-3.0000,,,,,,,6.88,3.12,75.7571885,1499,5,5.798722045,2.198083067,9.092651757,-36.574,-31.588,0,0,0,-3,-4,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,Face Milling
13.48,G04,X1.0000,,,,,,1.94,1.26,0,1499,5.007874016,5.448818898,1.527559055,17.03937008,-36.574,-31.588,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
14.74,X30.0000,,,,,,,252.81,52.29,75.98546845,1503.258126,26.00554493,33.12217973,4.833843212,14.53059273,30,-31.588,66.574,0,66.574,-3,0,Conventional,63.4,4.9,3,317.07,951.21,Cut with Feed,66.574,Face Milling
67.03,G04,X1.0000,,,,,,0.95,0.94,0,1499,4.336842105,3.663157895,1,24.66315789,30,-31.588,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
67.97,Y-28.4130,X31.5880,,,,,,23.54,3.14,68.27936508,1500.015873,18.38412698,25.25079365,7.473015873,17.41587302,31.588,-28.413,1.588,3.175,3.549981549,-3,0,Conventional,4.6,3.4,3,10.91,32.73,Cut with Feed,3.549981549,Face Milling
71.11,G04,X1.0000,,,,,,0.64,0.95,0,1499.104167,4.75,3.864583333,0.666666667,25.57291667,31.588,-28.413,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
72.06,X-31.5880,,,,,,,74.42,49.85,75.98475732,1503.288006,18.93180907,28.973927,1.492579222,14.09767349,-31.588,-28.413,-63.176,0,63.176,-3,0,Climb,63.2,3,3,186.33,558.99,Cut with Feed,63.176,Face Milling
121.91,G04,X1.0000,,,,,,2.01,0.96,0,1499,3.030927835,6.731958763,2.072164948,22.98969072,-31.588,-28.413,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
122.87,Y-25.2380,,,,,,,22.18,2.57,75.70542636,1501.55814,16.74806202,14.24418605,8.596899225,14.35658915,-31.588,-25.238,0,3.175,3.175,-3,0,Climb,4.5,3.1,3,10.55,31.65,Cut with Feed,3.175,Face Milling
125.44,G04,X1.0000,,,,,,4.16,0.95,0,1502.229167,5.020833333,13.875,4.333333333,21.72916667,-31.588,-25.238,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
126.39,X31.5880,,,,,,,117.13,49.91,75.81710737,1503.829728,18.52784455,37.40144231,2.346354167,13.70572917,31.588,-25.238,63.176,0,63.176,-3,0,Conventional,63.2,3.2,3,192.65,577.95,Cut with Feed,63.176,Face Milling
176.3,G04,X1.0000,,,,,,1.38,0.96,0,1499,2.020618557,7.680412371,1.422680412,24,31.588,-25.238,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
177.26,Y-22.0630,,,,,,,18.8,2.61,75.70992366,1502.70229,15.88549618,6.770992366,7.175572519,15.91984733,31.588,-22.063,0,3.175,3.175,-3,0,Conventional,4.6,3.1,3,10.73,32.19,Cut with Feed,3.175,Face Milling
179.87,G04,X1.0000,,,,,,0.01,0.95,0,1499,5.666666667,4.604166667,0.010416667,23.02083333,31.588,-22.063,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
180.82,X-31.5880,,,,,,,105.35,37.39,101.3676471,1502.860963,21.7815508,27.64438503,2.81684492,13.36069519,-31.588,-22.063,-63.176,0,63.176,-3,0,Climb,63.2,3.2,3,192.47,577.41,Cut with Feed,63.176,Face Milling
218.21,G04,X1.0000,,,,,,2.37,0.94,0,1499,2.010526316,10.36842105,2.494736842,23.33684211,-31.588,-22.063,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
219.15,Y-18.8880,,,,,,,21.81,2.23,78.69196429,1507.482143,17.11160714,14.65625,9.736607143,14.11607143,-31.588,-18.888,0,3.175,3.175,-3,0,Climb,4.4,3.1,3,10.33,30.99,Cut with Feed,3.175,Face Milling
221.38,G04,X1.0000,,,,,,2.94,0.97,0,1499,3.826530612,13.58163265,3,24.57142857,-31.588,-18.888,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
222.35,X31.5880,,,,,,,99.04,37.12,101.972529,1504.082144,22.87799623,42.22623216,2.667384864,14.6509561,31.588,-18.888,63.176,0,63.176,-3,0,Conventional,63.2,3.2,3,192.87,578.61,Cut with Feed,63.176,Face Milling
259.47,G04,X1.0000,,,,,,1.76,1.26,0,1499,2.047244094,11.79527559,1.385826772,25.22047244,31.588,-18.888,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
260.73,Y-15.7130,,,,,,,18.59,1.96,97.37055838,1502.350254,20.30456853,6.670050761,9.436548223,16.10152284,31.588,-15.713,0,3.175,3.175,-3,0,Conventional,4.5,3,3,10.49,31.47,Cut with Feed,3.175,Face Milling
262.69,G04,X1.0000,,,,,,0.97,0.95,0,1502.333333,3.833333333,2.041666667,1.010416667,25.25,31.588,-15.713,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
263.64,X-31.5880,,,,,,,76.62,30.02,126.8191808,1503.272394,24.35964036,28.18581419,2.551448551,17.7952048,-31.588,-15.713,-63.176,0,63.176,-3,0,Climb,63.2,3.1,3,186.36,559.08,Cut with Feed,63.176,Face Milling
293.66,G04,X1.0000,,,,,,1.96,0.95,0,1499,2.072916667,7.083333333,2.041666667,25.96875,-31.588,-15.713,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
294.61,Y-12.5380,,,,,,,9.02,1.56,126.1910828,1499.063694,22.74522293,8.388535032,5.74522293,15.63694268,-31.588,-12.538,0,3.175,3.175,-3,0,Climb,4.5,3.1,3,10.55,31.65,Cut with Feed,3.175,Face Milling
296.17,G04,X1.0000,,,,,,1.98,0.98,0,1502.535354,4.949494949,13.46464646,2,24.27272727,-31.588,-12.538,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
297.15,X31.5880,,,,,,,80.48,29.84,126.9775544,1503.211055,30.16616415,42.91624791,2.696147404,14.8281407,31.588,-12.538,63.176,0,63.176,-3,0,Conventional,63.2,3.2,3,192.65,577.95,Cut with Feed,63.176,Face Milling
326.99,G04,X1.0000,,,,,,1.62,1.25,15.29365079,1499,2.333333333,11.78571429,1.285714286,25.93650794,31.588,-12.538,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
328.24,Y-9.3630,,,,,,,27.54,1.58,126.2012579,1499.062893,30.11320755,22.7672956,17.32075472,14.50943396,31.588,-9.363,0,3.175,3.175,-3,0,Conventional,4.6,3.1,3,10.73,32.19,Cut with Feed,3.175,Face Milling
329.82,G04,X1.0000,,,,,,0.01,0.94,0,1502.368421,4.631578947,1.031578947,0.010526316,26.25263158,31.588,-9.363,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
330.76,X-31.5880,,,,,,,100.28,24.84,151.938833,1504.05835,40.58350101,31.79275654,4.035412475,16.98631791,-31.588,-9.363,-63.176,0,63.176,-3,0,Climb,63.2,3.2,3,192.47,577.41,Cut with Feed,63.176,Face Milling
355.6,G04,X1.0000,,,,,,5.11,1.26,0,1499,2.133858268,9.968503937,4.023622047,26.91338583,-31.588,-9.363,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
356.86,Y-6.1880,,,,,,,9.46,1.26,150.8031496,1499.07874,35.22047244,0.598425197,7.448818898,11.90551181,-31.588,-6.188,0,3.175,3.175,-3,0,Climb,4.4,3.1,3,10.33,30.99,Cut with Feed,3.175,Face Milling
358.12,G04,X1.0000,,,,,,1.56,0.92,0,1502.333333,5.870967742,16.38709677,1.677419355,26.59139785,-31.588,-6.188,0,0,0,-3,0,,0,0,0,0,0,Dwell,0,Face Milling
359.04,X31.5880,,,,,,,78.11,25.13,151.4216388,1502.504375,34.42004773,45.99761337,3.107000796,16.16746221,31.588,-6.188,63.176,0,63.176,-3,0,Conventional,63.2,3.2,3,192.87,578.61,Cut with Feed,63.176,Face Milling
