Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
8.66,%,,,,,,,5.89,0.3,,,,2,19,17,0,0,0,0,,0,,,,,,,,,,
8.96,G91,G28,Z0,M19,,,,11.3,0.57,,53.82758621,7.482758621,1.517241379,19.48275862,17,0,0,0,0,0,0,0,,0,0,,0,0,,0,
9.53,G04,X1.0000,,,,,,45.34,2.3,,0,0,1.874458874,19.62770563,16.39393939,0,0,0,0,0,0,0,,0,0,,0,0,Dwell,0,
11.83,G30,Z0.0000,,,,,,10.83,0.56,,0,0,2,19,15,0,0,0,0,0,0,0,,0,0,,0,0,,0,
12.39,G04,X1.0000,,,,,,7.18,0.3,,0,0,6.290322581,23.16129032,14.96774194,0,0,0,0,0,0,0,,0,0,,0,0,Dwell,0,
12.69,G90,G17,G00,X-31.5880,Y-36.5740,,,72.97,1.19,,0,0,78.63333333,60.80833333,14.275,-31.588,-36.574,-31.588,-36.574,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,
13.88,G04,X1.0000,,,,,,1.8,0.9,164.8351648,13.6043956,0.461538462,5.043956044,1.978021978,15.41758242,-31.588,-36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,
14.78,G43,Z1.0000,H2,S1500,M3,,,1.24,0.61,14758.06452,1367.709677,23.87096774,5.516129032,2,17.33870968,-31.588,-36.574,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,
15.39,G04,X1.0000,,,,,,2.11,0.9,0,1499,3,6,2.318681319,17.83516484,-31.588,-36.574,0,0,0,1,0,,0,0,,0,0,Dwell,0,
16.29,Z-1.0000,,,,,,,3.68,1.83,63.19565217,1499,3,5.5,2,10.53804348,-31.588,-36.574,0,0,0,-1,-2,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,
18.12,G04,X1.0000,,,,,,2.5,0.9,0,1499,3,5.989010989,2.747252747,19.75824176,-31.588,-36.574,0,0,0,-1,0,,0,0,,0,0,Dwell,0,
19.02,Y30.0000,,,,,,,509.15,52.45,75.85665269,1504.577583,7.266679375,2.772016775,9.705489897,22.36427754,-31.588,30,0,66.574,66.574,-1,0,Climb,4.9,63.4,1,317.07,317.07,Cut with Feed,66.574,Face Milling
71.47,G04,X1.0000,,,,,,8.37,1.18,7.462184874,1499,2.008403361,13.8907563,7.033613445,25.24369748,-31.588,30,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
72.65,X-28.4130,Y31.5880,,,,,,38.04,2.71,75.72058824,1503.448529,4.213235294,27.76838235,13.98529412,25.99264706,-28.413,31.588,3.175,1.588,3.549981549,-1,0,Climb,3.4,4.6,1,10.65,10.65,Cut with Feed,3.549981549,Face Milling
75.36,G04,X1.0000,,,,,,9.49,1.17,0,1501.542373,2.279661017,12.81355932,8.042372881,23,-28.413,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
76.53,Y-31.5880,,,,,,,550.21,49.83,75.9847512,1503.664928,7.127407705,8.885032103,11.03952648,20.87821027,-28.413,-31.588,0,-63.176,63.176,-1,0,Conventional,3,63.2,1,186.59,186.59,Cut with Feed,63.176,Face Milling
126.36,G04,X1.0000,,,,,,5.52,0.91,0,1499,2,6.630434783,6,17.67391304,-28.413,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
127.27,X-25.2380,,,,,,,16.64,2.72,69.97802198,1500.098901,6.626373626,28.92307692,6.095238095,16.12087912,-25.238,-31.588,3.175,0,3.175,-1,0,Conventional,3.1,4.5,1,10.55,10.55,Cut with Feed,3.175,Face Milling
129.99,G04,X1.0000,,,,,,3.75,0.91,0,1499,2.043478261,5.086956522,4.076086957,20.64130435,-25.238,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
130.9,Y31.5880,,,,,,,497.35,49.74,75.98834171,1502.644221,7.878994975,13.27417085,9.996984925,15.2038191,-25.238,31.588,0,63.176,63.176,-1,0,Climb,3.2,63.2,1,192.65,192.65,Cut with Feed,63.176,Face Milling
180.64,G04,X1.0000,,,,,,9.23,1.18,5.176470588,1499,1.008403361,5.235294118,7.756302521,22,-25.238,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
181.82,X-22.0630,,,,,,,13.21,2.7,72.17712177,1501.103321,5.859778598,30.12177122,4.874538745,20.87822878,-22.063,31.588,3.175,0,3.175,-1,0,Climb,3.1,4.5,1,10.42,10.42,Cut with Feed,3.175,Face Milling
184.52,G04,X1.0000,,,,,,6.48,0.87,0,1499,2.056818182,7.636363636,7.363636364,17.01136364,-22.063,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
185.39,Y-31.5880,,,,,,,433.78,37.44,101.9727637,1503.168224,9.128971963,8.916955941,11.58291055,18.65367156,-22.063,-31.588,0,-63.176,63.176,-1,0,Conventional,3.2,63.2,1,192.78,192.78,Cut with Feed,63.176,Face Milling
222.83,G04,X1.0000,,,,,,5.45,0.9,0,1499,2.010989011,6.384615385,5.989010989,18.35164835,-22.063,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
