Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
16.24,%,,,,,,,5.46,0.31,,,,9,17.0625,12,0,0,0,0,,0,,,,,,,,,,
16.55,G91,G28,Z0,M19,,,,11.28,0.6,,24.09836066,6.393442623,9,18.49180328,12.52459016,0,0,0,0,0,0,0,,0,0,,0,0,,0,
17.15,G04,X1.0000,,,,,,61.06,3.3,,0,0,9.317220544,18.44712991,14.64048338,0,0,0,0,0,0,0,,0,0,,0,0,Dwell,0,
20.45,G90,G17,G00,X-31.5880,Y-36.5740,,,31.38,0.91,17224.71739,0,0,81,34.10869565,13.67391304,-31.588,-36.574,-31.588,-36.574,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,
21.36,G04,X1.0000,,,,,,3.64,0.9,164.8351648,8.340659341,0.802197802,7.065934066,4,13.81318681,-31.588,-36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,
22.26,G43,Z1.0000,H2,S1500,M3,,,2.13,0.6,14754.09836,1120.803279,42.90163934,4.524590164,3.491803279,21.3442623,-31.588,-36.574,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,
22.86,G04,X1.0000,,,,,,3.63,1.2,0,1499,6.239669421,5.239669421,3,18.7768595,-31.588,-36.574,0,0,0,1,0,,0,0,,0,0,Dwell,0,
24.06,Z-1.0000,,,,,,,4.84,1.5,75.49668874,1499,5.390728477,4.589403974,3.205298013,11.81456954,-31.588,-36.574,0,0,0,-1,-2,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,
25.56,G04,X1.0000,,,,,,3.37,1.2,0,1499,5.008264463,5.024793388,2.785123967,18.07438017,-31.588,-36.574,0,0,0,-1,0,,0,0,,0,0,Dwell,0,
26.76,Y30.0000,,,,,,,484.74,52.49,75.98552381,1502.104762,10.26819048,1.732190476,9.233142857,23.3672381,-31.588,30,0,66.574,66.574,-1,0,Climb,4.9,63.4,1,317.07,317.07,Cut with Feed,66.574,Face Milling
79.25,G04,X1.0000,,,,,,4.57,0.89,0,1499,4.011111111,13.55555556,5.077777778,26,-31.588,30,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
80.14,X-28.4130,Y31.5880,,,,,,34.7,2.96,75.23905724,1502.030303,6.69023569,27.84511785,11.68350168,26.8956229,-28.413,31.588,3.175,1.588,3.549981549,-1,0,Climb,3.4,4.6,1,10.65,10.65,Cut with Feed,3.549981549,Face Milling
83.1,G04,X1.0000,,,,,,5.63,0.92,0,1499,4.032258065,7.989247312,6.053763441,25,-28.413,31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
84.02,Y-31.5880,,,,,,,589.81,49.85,75.67027677,1502.178901,7.813878861,9.078419575,11.8293221,25.15282792,-28.413,-31.588,0,-63.176,63.176,-1,0,Conventional,3,63.2,1,186.59,186.59,Cut with Feed,63.176,Face Milling
133.87,G04,X1.0000,,,,,,6.2,0.92,0,1499,4,9.870967742,6.666666667,20.66666667,-28.413,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
134.79,X-25.2380,,,,,,,17.94,2.73,67.67883212,1499,7.678832117,36.02189781,6.547445255,19.87956204,-25.238,-31.588,3.175,0,3.175,-1,0,Conventional,3.1,4.5,1,10.55,10.55,Cut with Feed,3.175,Face Milling
137.52,G04,X1.0000,,,,,,4.09,0.92,0,1499,4.021505376,6.064516129,4.397849462,21.68817204,-25.238,-31.588,0,0,0,-1,0,,0,0,,0,0,Dwell,0,Face Milling
138.44,Y31.5880,,,,,,,489.59,50.04,75.57342657,1501.973027,7.858941059,12.42037962,9.782017982,19.63316683,-25.238,31.588,0,63.176,63.176,-1,0,Climb,3.2,63.2,1,192.65,192.65,Cut with Feed,63.176,Face Milling
