Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation Type
10.97,G91,G28,Z0,M19,,,,12.89,0.65,,59.87878788,14.84848485,5.46969697,19.53030303,15,0,0,0,0,,0,,,,,,,,,,
11.62,G04,X1.0000,,,,,,65.27,3.14,,0,0,6.133333333,20.72063492,14.8984127,0,0,0,0,0,0,0,,0,0,,0,0,Dwell,0,
14.76,N11,,,,,,,89.46,0.32,1734,0,0,321.8787879,271.0909091,13.96969697,0,0,0,0,0,0,0,,0,0,,0,0,,0,
15.08,G90,G17,G00,X-31.5880,Y-36.5740,,,35.71,0.93,11671.08511,0,0,67.46808511,37.9893617,14,-31.588,-36.574,-31.588,-36.574,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,
16.01,G04,X1.0000,,,,,,2.54,0.94,157.8947368,13.87368421,3.305263158,4.284210526,2.673684211,16.05263158,-31.588,-36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,
16.95,G43,Z1.0000,H2,S1500,M3,,,1.28,0.63,14765.625,1406.328125,15.671875,5.5,2,18.375,-31.588,-36.574,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,
17.58,G04,X1.0000,,,,,,1.88,0.93,0,1499,5,5.670212766,2,18.22340426,-31.588,-36.574,0,0,0,1,0,,0,0,,0,0,Dwell,0,
18.51,Z-1.5000,,,,,,,3.77,2.2,75.6561086,1499,4.140271493,5.56561086,1.705882353,10.60633484,-31.588,-36.574,0,0,0,-1.5,-2.5,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,
20.71,G04,X1.0000,,,,,,1.67,0.97,0,1499,4.020408163,3.408163265,1.704081633,18.96938776,-31.588,-36.574,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,
21.68,Y30.0000,,,,,,,486.32,52.37,75.98549065,1502.644521,15.0257732,4.064719359,9.284459717,19.03856434,-31.588,30,0,66.574,66.574,-1.5,0,Climb,4.9,63.4,1.5,317.07,475.605,Cut with Feed,66.574,Face Milling
74.05,G04,X1.0000,,,,,,6.34,0.94,0,1499,3.010526316,14.21052632,6.673684211,25.66315789,-31.588,30,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
74.99,X-28.4130,Y31.5880,,,,,,26.47,2.86,67.26132404,1505.689895,8.993031359,26.05923345,9.222996516,26.22299652,-28.413,31.588,3.175,1.588,3.549981549,-1.5,0,Climb,3.4,4.6,1.5,10.65,15.975,Cut with Feed,3.549981549,Face Milling
77.85,G04,X1.0000,,,,,,9.77,1.25,0,1501.380952,4.515873016,11.11111111,7.753968254,22.21428571,-28.413,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
79.1,Y-31.5880,,,,,,,563.79,49.77,75.98473282,1503.656489,11.39734833,8.893531539,11.32563278,23.5249096,-28.413,-31.588,0,-63.176,63.176,-1.5,0,Conventional,3,63.2,1.5,186.59,279.885,Cut with Feed,63.176,Face Milling
128.87,G04,X1.0000,,,,,,6.17,0.96,0,1499,3.020618557,8.896907216,6.360824742,17.68041237,-28.413,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
129.83,X-25.2380,,,,,,,19.59,2.57,75.70542636,1499.03876,10.51937984,27.76356589,7.593023256,16.62015504,-25.238,-31.588,3.175,0,3.175,-1.5,0,Conventional,3.1,4.5,1.5,10.55,15.825,Cut with Feed,3.175,Face Milling
132.4,G04,X1.0000,,,,,,3.99,0.98,0,1502.131313,3.666666667,6.03030303,4.03030303,22.12121212,-25.238,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
133.38,Y31.5880,,,,,,,472.12,50.01,75.63934426,1502.436625,11.27069172,14.0309876,9.43862455,16.12714914,-25.238,31.588,0,63.176,63.176,-1.5,0,Climb,3.2,63.2,1.5,192.65,288.975,Cut with Feed,63.176,Face Milling
183.39,G04,X1.0000,,,,,,6.44,0.91,0,1499,3.02173913,0.673913043,7,23.67391304,-25.238,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
184.3,X-22.0630,,,,,,,12.89,2.6,75.70881226,1505.206897,9.735632184,28.01915709,4.938697318,25.19923372,-22.063,31.588,3.175,0,3.175,-1.5,0,Climb,3.1,4.5,1.5,10.42,15.63,Cut with Feed,3.175,Face Milling
186.9,G04,X1.0000,,,,,,8.36,0.96,0,1499,3.402061856,8.329896907,8.618556701,19.32989691,-22.063,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
187.86,Y-31.5880,,,,,,,461.04,37.28,101.9061411,1502.555913,12.95441137,8.813354787,12.36363636,23.2156074,-22.063,-31.588,0,-63.176,63.176,-1.5,0,Conventional,3.2,63.2,1.5,192.78,289.17,Cut with Feed,63.176,Face Milling
225.14,G04,X1.0000,,,,,,8.93,1.27,0,1499,3.03125,7.2734375,6.9765625,19.0078125,-22.063,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
226.41,X-18.8880,,,,,,,12.58,1.89,101.4631579,1505.578947,13.1,33.12631579,6.621052632,17.37368421,-18.888,-31.588,3.175,0,3.175,-1.5,0,Conventional,3.1,4.4,1.5,10.33,15.495,Cut with Feed,3.175,Face Milling
228.3,G04,X1.0000,,,,,,2.65,0.95,0,1499,4.40625,5.447916667,2.760416667,25,-18.888,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
229.25,Y31.5880,,,,,,,382.12,37.34,101.9726908,1504.145917,13.46666667,13.42516734,10.23078983,16.03641232,-18.888,31.588,0,63.176,63.176,-1.5,0,Climb,3.2,63.2,1.5,192.87,289.305,Cut with Feed,63.176,Face Milling
266.59,G04,X1.0000,,,,,,7.29,0.94,0,1499,3.010526316,0.315789474,7.673684211,25,-18.888,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
267.53,X-15.7130,,,,,,,17.24,2.22,74.43497758,1507.565022,10.44843049,24.4573991,7.730941704,25.96860987,-15.713,31.588,3.175,0,3.175,-1.5,0,Climb,3,4.4,1.5,10.19,15.285,Cut with Feed,3.175,Face Milling
269.75,G04,X1.0000,,,,,,7.88,0.93,0,1499,3.425531915,4.946808511,8.382978723,19.37234043,-15.713,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
270.68,Y-31.5880,,,,,,,360.21,30.03,125.9876831,1503.906791,18.50865513,7.589214381,11.99101198,23.12283622,-15.713,-31.588,0,-63.176,63.176,-1.5,0,Conventional,3.1,63.2,1.5,186.66,279.99,Cut with Feed,63.176,Face Milling
300.71,G04,X1.0000,,,,,,5.05,0.94,0,1499,3.063157895,2.873684211,5.315789474,21.64210526,-15.713,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
301.65,X-12.5380,,,,,,,6.64,1.58,126.2012579,1499,18.43396226,52.04402516,4.176100629,16.02515723,-12.538,-31.588,3.175,0,3.175,-1.5,0,Conventional,3.1,4.5,1.5,10.55,15.825,Cut with Feed,3.175,Face Milling
303.23,G04,X1.0000,,,,,,0.77,0.99,0,1499,4.79,4.64,0.77,25.93,-12.538,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
304.22,Y31.5880,,,,,,,303.27,30.06,126.7236448,1502.378783,20.97040239,16.63551713,10.08546724,15.74692384,-12.538,31.588,0,63.176,63.176,-1.5,0,Climb,3.2,63.2,1.5,192.65,288.975,Cut with Feed,63.176,Face Milling
334.28,G04,X1.0000,,,,,,6.63,0.94,0,1499,3.063157895,1.305263158,6.978947368,25.31578947,-12.538,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
335.22,X-9.3630,,,,,,,8.95,1.58,126.2012579,1499.062893,18.42138365,36.47798742,5.628930818,21.20754717,-9.363,31.588,3.175,0,3.175,-1.5,0,Climb,3.1,4.5,1.5,10.42,15.63,Cut with Feed,3.175,Face Milling
336.8,G04,X1.0000,,,,,,7.69,0.94,0,1502.368421,4.8,7.978947368,8.094736842,18.36842105,-9.363,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
337.74,Y-31.5880,,,,,,,345.58,25.13,150.4375497,1503.375497,21.61694511,8.58353222,13.74622116,23.4797136,-9.363,-31.588,0,-63.176,63.176,-1.5,0,Conventional,3.2,63.2,1.5,192.78,289.17,Cut with Feed,63.176,Face Milling
362.87,G04,X1.0000,,,,,,5.97,0.94,0,1499,3.084210526,2.589473684,6.284210526,22.64210526,-9.363,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
363.81,X-6.1880,,,,,,,3.72,1.24,150.784,1501.48,19.816,24.912,2.976,17.592,-6.188,-31.588,3.175,0,3.175,-1.5,0,Conventional,3.1,4.4,1.5,10.33,15.495,Cut with Feed,3.175,Face Milling
365.05,G04,X1.0000,,,,,,2,0.94,0,1502.368421,5.747368421,5.105263158,2.105263158,25.62105263,-6.188,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
365.99,Y31.5880,,,,,,,263.27,24.97,150.1893515,1502.67494,22.49679744,14.00920737,10.53923139,16.14731785,-6.188,31.588,0,63.176,63.176,-1.5,0,Climb,3.2,63.2,1.5,192.87,289.305,Cut with Feed,63.176,Face Milling
