Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
267.49,X-15.7130,,,,,,,7.07,1.82,101.442623,1504.027322,10.30054645,21.56830601,3.863387978,24.99453552,-15.713,31.588,3.175,0,3.175,-1.5,0,Climb,3,4.4,1.5,10.19,15.285,Cut with Feed,3.175,Face Milling
269.31,G04,X1.0000,,,,,,7.42,0.88,0,1502.370787,2,7.011235955,8.337078652,18.6741573,-15.713,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
270.19,Y-31.5880,,,,,,,398.85,29.95,125.6121495,1502.848465,17.0170227,9.410213618,13.31275033,21.05607477,-15.713,-31.588,0,-63.176,63.176,-1.5,0,Conventional,3.1,63.2,1.5,186.66,279.99,Cut with Feed,63.176,Face Milling
300.14,G04,X1.0000,,,,,,9.15,1.2,9.231404959,1499,1.305785124,4.760330579,7.561983471,18.49586777,-15.713,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
301.34,X-12.5380,,,,,,,13.2,1.43,126.1180556,1503.236111,17.50694444,74.36805556,9.166666667,16.47222222,-12.538,-31.588,3.175,0,3.175,-1.5,0,Conventional,3.1,4.5,1.5,10.55,15.825,Cut with Feed,3.175,Face Milling
302.77,G04,X1.0000,,,,,,3,1.22,0,1501.601626,6.016260163,6.520325203,2.43902439,24.56910569,-12.538,-31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
303.99,Y31.5880,,,,,,,313.91,29.82,126.9574254,1502.975863,20.76500168,15.19912839,10.52329869,16.60140798,-12.538,31.588,0,63.176,63.176,-1.5,0,Climb,3.2,63.2,1.5,192.65,288.975,Cut with Feed,63.176,Face Milling
333.81,G04,X1.0000,,,,,,8.63,1.19,0,1499.083333,1.075,1.091666667,7.191666667,24.725,-12.538,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
335,X-9.3630,,,,,,,9.7,1.48,126.147651,1503.09396,17.48322148,35.79865772,6.510067114,20.57718121,-9.363,31.588,3.175,0,3.175,-1.5,0,Climb,3.1,4.5,1.5,10.42,15.63,Cut with Feed,3.175,Face Milling
336.48,G04,X1.0000,,,,,,6.64,0.88,0,1502.258427,4,9.617977528,7.460674157,18.65168539,-9.363,31.588,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
