Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Modal G-Code
5.09,%,,,,,,,1.6,0.31,,,,15.96875,5,8.90625,0,0,0,0,,0,,,,,,,,,,Face Milling
5.4,G91,G28,Z0,M19,,,,6.19,0.95,1431.90625,,,16.19791667,6.447916667,14.78125,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
6.35,G28,X0,Y0,,,,,35,0.96,12416.82474,0,0,38.35051546,36.08247423,16.35051546,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
7.31,G04,X1.0000,,,,,,31.02,2.12,0,0,0,9.854460094,14.56338028,17.00469484,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
9.43,G30,Z0.0000,,,,,,9.28,0.57,0,0,0,10,16,18,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
10,G04,X1.0000,,,,,,6.48,0.32,114.9090909,0,0,13.84848485,19.63636364,17.96969697,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
10.32,G90,G17,G00,Y-31.5880,X-36.5740,,,72.45,0.96,12927.34021,0,0,102.8247423,74.69072165,16.68041237,-36.574,-31.588,-36.574,-31.588,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,Face Milling
11.28,G04,X1.0000,,,,,,5.58,0.97,131.1938776,3.765306122,1.040816327,9.387755102,5.693877551,16.48979592,-36.574,-31.588,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
12.25,G43,Z1.0000,H2,S1500,M3,,,1.69,0.67,13808.75,931.1176471,56.05882353,5.514705882,2.485294118,26.19117647,-36.574,-31.588,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,Face Milling
12.92,G04,X1.0000,,,,,,2.56,1.27,1142.148438,1499,3.2421875,7.25,2,17.4921875,-36.574,-31.588,0,0,0,1,0,,0,0,0,0,0,Dwell,0,Face Milling
14.19,Z-1.5000,,,,,,,6.24,2.29,60.73913043,1499,3,7.443478261,2.713043478,9.730434783,-36.574,-31.588,0,0,0,-1.5,-2.5,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,Face Milling
