Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Modal G-Code
7.08,G91,G28,Z0,M19,,,,3.53,0.61,,53.03225806,15.4516129,5.725806452,5.693548387,22.93548387,0,0,0,0,,0,,,,,,,,,,Face Milling
7.69,G28,X0,Y0,,,,,62.56,1.28,11027.95349,0,0,70.14728682,48.49612403,15.51937984,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
8.97,G04,X1.0000,,,,,,28.51,1.89,0,0,0,6.163157895,15.00526316,16,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
10.86,G90,,,,,,,5.12,0.31,0,0,0,7.03125,16,16.03125,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
11.17,G04,X1.0000,,,,,,15.96,0.95,184.34375,0,0,9.15625,16.625,16.3125,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
12.12,G90,G17,G00,Y-31.5880,X-36.5740,,,31.93,0.98,11798,0,0,63.88888889,32.25252525,14.33333333,-36.574,-31.588,-36.574,-31.588,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,Face Milling
13.1,G04,X1.0000,,,,,,2,0.99,150,17.49,18.02,6.01,2,14.41,-36.574,-31.588,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
14.09,G43,Z1.0000,H2,S1500,M3,,,1.29,0.64,14769.23077,1460.846154,12.66153846,7,1.984615385,12.24615385,-36.574,-31.588,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,Face Milling
14.73,G04,X1.0000,,,,,,1.59,0.95,0,1499,4.333333333,7.010416667,1.65625,19.51041667,-36.574,-31.588,0,0,0,1,0,,0,0,0,0,0,Dwell,0,Face Milling
15.68,Z-1.0000,,,,,,,3.93,1.96,60.69035533,1499,4,7.335025381,1.994923858,8.659898477,-36.574,-31.588,0,0,0,-1,-2,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,Face Milling
