Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
9.87,G17,G90,G21,G94,,,,1.65,0.32,,24.21212121,53.66666667,3.96969697,5,17.06060606,0,0,0,0,,0,,,,,,,,,,
10.19,G91,G28,Z0,M19,,,,5.71,0.97,,179.3061224,4.602040816,4.459183673,5.826530612,19.68367347,0,0,0,0,0,0,0,,0,0,,0,0,,0,
11.16,G28,X0,Y0,,,,,24.72,0.61,16600.35484,0,0,63.24193548,39.87096774,21.01612903,0,0,0,0,0,0,0,,0,0,,0,0,,0,
11.77,G04,P2000,,,,,,17.77,1.15,150.1206897,0,0,3.784482759,15.31896552,21.99137931,0,0,0,0,0,0,0,,0,0,,0,0,Dwell,0,
12.92,G90,G17,G00,X-31.5880,Y-36.5740,,,32.99,0.64,17146.09231,2.584615385,1.246153846,87.8,50.75384615,20.8,-31.588,-36.574,-31.588,-36.574,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,
13.56,G43,Z1.0000,H2,S1500,M3,,,1.92,0.95,5371.729167,1048.864583,33.86458333,5.583333333,2,36.69791667,-31.588,-36.574,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,
14.51,Z-3.0000,,,,,,,7.31,3.17,72.23584906,1499,4,4.213836478,2.298742138,10.39937107,-31.588,-36.574,0,0,0,-3,-4,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,
17.68,G04,P2000,,,,,,0.74,0.32,57.57575758,1499,4.090909091,5.090909091,2.242424242,12.18181818,-31.588,-36.574,0,0,0,-3,0,,0,0,,0,0,Dwell,0,
18,Y30.0000,,,,,,,477.71,52.66,75.99069679,1503.163661,24.5804063,9.341560661,9.069868996,16.56350864,-31.588,30,0,66.574,66.574,-3,0,Climb,4.9,63.4,3,317.07,951.21,Cut with Feed,66.574,Face Milling
70.66,X-28.4130,Y31.5880,,,,,,14.32,2.85,70.08041958,1507.846154,12.27972028,27.38811189,5.006993007,27.20979021,-28.413,31.588,3.175,1.588,3.549981549,-3,0,Climb,3.4,4.6,3,10.65,31.95,Cut with Feed,3.549981549,Face Milling
