Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
14.99,G17,G90,G21,G94,,,,6,0.29,,10.33333333,19.43333333,2,20,16,0,0,0,0,,0,,,,,,,,,,
15.28,G91,G28,Z0,M19,,,,6,0.29,,19.33333333,2.9,2,20,16,0,0,0,0,0,0,0,,0,0,,0,0,,0,
15.57,,,,,,,,6,0.29,,0,0,2,20,16,0,0,0,0,0,0,0,,0,0,,0,0,,0,
15.86,G04,X1.0000,,,,,,60.13,2.95,,0,0,2.22972973,20.31418919,16,0,0,0,0,0,0,0,,0,0,,0,0,Dwell,0,
18.81,G90,G17,G00,X-31.5880,Y-36.5740,,,42.2,1.18,15466.90756,0,0,70.76470588,35.46218487,15.75630252,-31.588,-36.574,-31.588,-36.574,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,
19.99,G04,X1.0000,,,,,,2.07,0.87,170.4545455,12.93181818,0.613636364,5.602272727,2.352272727,16.68181818,-31.588,-36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,
20.86,G43,Z1.0000,H2,S1500,M3,,,1.5,0.59,14750,1309.316667,30.43333333,5,2.5,17.9,-31.588,-36.574,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,
21.45,G04,X1.0000,,,,,,1.88,0.93,0,1499,3,5,2,17.31914894,-31.588,-36.574,0,0,0,1,0,,0,0,,0,0,Dwell,0,
22.38,Z-1.5000,,,,,,,5.48,2.12,64.93896714,1499,2.704225352,5.14084507,2.572769953,12.26760563,-31.588,-36.574,0,0,0,-1.5,-2.5,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,
24.5,G04,X1.0000,,,,,,2.54,1.23,0,1499,2.016129032,4.241935484,2.048387097,18.43548387,-31.588,-36.574,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,
25.73,Y30.0000,,,,,,,499.35,52.23,75.98774885,1502.744257,13.02201378,5.180130168,9.558767228,19.89835375,-31.588,30,0,66.574,66.574,-1.5,0,Climb,4.9,63.4,1.5,317.07,475.605,Cut with Feed,66.574,Face Milling
77.96,G04,X1.0000,,,,,,8.65,1.17,0,1499,1.279661017,12.88983051,7.330508475,23.50847458,-31.588,30,0,0,0,-1.5,0,,0,0,,0,0,Dwell,0,Face Milling
