Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
10.24,G91,G28,Z0,M19,,,,12.29,0.59,,50.13333333,7.183333333,1.516666667,20.48333333,15,0,0,0,0,,0,,,,,,,,,,
10.83,G04,X1.0000,,,,,,40.89,2.08,,0,0,1.282296651,19.5645933,15.14354067,0,0,0,0,0,0,0,,0,0,,0,0,Dwell,0,
12.91,M6,,,,,,,6.46,0.33,,0,0,1,19,16,0,0,0,0,0,0,0,,0,0,,0,0,,0,
13.24,G04,X1.0000,,,,,,18.53,0.95,,0,0,1.916666667,19.30208333,16.32291667,0,0,0,0,0,0,0,,0,0,,0,0,Dwell,0,
14.19,G90,G17,G00,X-31.5880,Y-36.5740,,,40.22,0.9,17222.63736,0,0,76.6043956,44.1978022,15,-31.588,-36.574,-31.588,-36.574,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,
15.09,G04,X1.0000,,,,,,2.02,0.86,172.4137931,8.137931034,1.103448276,6.413793103,2.32183908,15.10344828,-31.588,-36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,
15.95,G43,Z1.0000,H2,S1500,M3,,,1.17,0.58,14865.79661,1091.033898,54.66101695,4.508474576,1.983050847,21.88135593,-31.588,-36.574,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,
16.53,M8,,,,,,,0.32,0.3,6853.548387,1499,5.967741935,5,1.032258065,15.06451613,-31.588,-36.574,0,0,0,1,0,,0,0,,0,0,,0,
16.83,G04,X1.0000,,,,,,1.8,0.89,0,1499,5,5,2,20.96666667,-31.588,-36.574,0,0,0,1,0,,0,0,,0,0,Dwell,0,
17.72,Z-3.0000,,,,,,,5.42,3.3,75.77039275,1499,4.359516616,4.540785498,1.637462236,11.4652568,-31.588,-36.574,0,0,0,-3,-4,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,
21.02,G04,X1.0000,,,,,,1.91,0.9,0,1499,4.021978022,3.362637363,2.098901099,19.31868132,-31.588,-36.574,0,0,0,-3,0,,0,0,,0,0,Dwell,0,
21.92,Y30.0000,,,,,,,482.81,52.45,75.92051087,1503.306138,24.63019443,7.793938239,9.203393061,17.11685093,-31.588,30,0,66.574,66.574,-3,0,Climb,4.9,63.4,3,317.07,951.21,Cut with Feed,66.574,Face Milling
74.37,G04,X1.0000,,,,,,7.67,1.19,0,1499,3.291666667,13.26666667,6.391666667,24.75833333,-31.588,30,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
