Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Operation
13.41,G91,G28,Z0,M19,,,,10.99,0.6,,88.03278689,9.836065574,6,18.01639344,15,0,0,0,0,,0,,,,,,,,,,
14.01,G04,X1.0000,,,,,,43.25,2.36,,0,0,5.375527426,18.24894515,15,0,0,0,0,0,0,0,,0,0,,0,0,Dwell,0,
16.37,G30,X0.0000,Y0.0000,,,,,10.62,0.58,,0,0,6,18,14.98305085,0,0,0,0,0,0,0,,0,0,,0,0,,0,
16.95,G04,X1.0000,,,,,,5.8,0.3,,0,0,8.935483871,18.70967742,13.87096774,0,0,0,0,0,0,0,,0,0,,0,0,Dwell,0,
17.25,G90,G17,G00,X-31.5880,Y-36.5740,,,39.49,0.88,17218.33708,0,0,91.16853933,44.37078652,12.03370787,-31.588,-36.574,-31.588,-36.574,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,
18.13,G04,X1.0000,,,,,,7.2,1.19,125,11.06666667,10.925,10.04166667,6,16.04166667,-31.588,-36.574,0,0,0,0,0,,0,0,,0,0,Dwell,0,
19.32,G43,Z1.0000,H2,S1500,M3,,,1.8,0.59,14750,1411.35,13.15,6.516666667,3,16.86666667,-31.588,-36.574,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,
19.91,G04,X1.0000,,,,,,2.64,0.87,0,1499,2,7,3,18.54545455,-31.588,-36.574,0,0,0,1,0,,0,0,,0,0,Dwell,0,
20.78,Z-3.0000,,,,,,,8.12,3.3,69.54984894,1499,2,6.637462236,2.453172205,11.29305136,-31.588,-36.574,0,0,0,-3,-4,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,
24.08,G04,X1.0000,,,,,,2.81,1.22,0,1499,2.040650407,7.796747967,2.284552846,18.54471545,-31.588,-36.574,0,0,0,-3,0,,0,0,,0,0,Dwell,0,
25.3,Y30.0000,,,,,,,461.25,52.31,75.98547401,1503.208716,24.0273318,9.557148318,8.815940367,15.8920107,-31.588,30,0,66.574,66.574,-3,0,Climb,4.9,63.4,3,317.07,951.21,Cut with Feed,66.574,Face Milling
77.61,G04,X1.0000,,,,,,8.45,1.2,0,1499.082645,1.305785124,16.19834711,6.983471074,24.27272727,-31.588,30,0,0,0,-3,0,,0,0,,0,0,Dwell,0,Face Milling
78.81,X-28.4130,Y31.5880,,,,,,27.61,2.69,75.71851852,1503.407407,12.75185185,29.14074074,10.22592593,23.88888889,-28.413,31.588,3.175,1.588,3.549981549,-3,0,Climb,3.4,4.6,3,10.65,31.95,Cut with Feed,3.549981549,Face Milling
