Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Modal G-Code
6.58,G91,G28,Z0,M19,,,,6.52,0.95,589.125,,,5.03125,6.791666667,39.5,0,0,0,0,,0,,,,,,,,,,Face Milling
7.53,G28,X0,Y0,,,,,41.03,0.96,13164,0,0,44.13402062,42.29896907,16.35051546,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
8.49,G04,X1.0000,,,,,,34.49,2.15,0,0,0,4.513888889,15.96759259,16.85185185,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
10.64,M6,,,,,,,10.54,0.61,0,0,0,7,17,16.01612903,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
11.25,G04,X1.0000,,,,,,5.72,0.31,553.15625,0,0,9.65625,17.875,16.96875,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
11.56,G90,G17,G00,X-36.5740,Y-31.5880,,,42.5,0.95,17516.61458,0,0,86.65625,44.27083333,15.02083333,-36.574,-31.588,-36.574,-31.588,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,Face Milling
12.51,G04,X1.0000,,,,,,3.81,0.95,156.25,9.260416667,0.645833333,7.583333333,3.96875,15.17708333,-36.574,-31.588,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
13.46,G43,Z1.0000,H2,S1500,M3,,,1.92,0.63,14765.625,1194.03125,34.09375,5.515625,3,26.625,-36.574,-31.588,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,Face Milling
14.09,G04,X1.0000,,,,,,2.88,0.95,0,1499,3.333333333,6,3,15.61458333,-36.574,-31.588,0,0,0,1,0,,0,0,0,0,0,Dwell,0,Face Milling
15.04,Z-1.5000,,,,,,,5.95,2.18,64.89497717,1499,3,5.853881279,2.716894977,10.15068493,-36.574,-31.588,0,0,0,-1.5,-2.5,,0,0,0,71.25573925,0,Air-Cut in Z while plunging,0,Face Milling
17.22,G04,X1.0000,,,,,,2.61,0.97,0,1499,3,4.908163265,2.663265306,17.44897959,-36.574,-31.588,0,0,0,-1.5,0,,0,0,0,0,0,Dwell,0,Face Milling
18.19,X30.0000,,,,,,,195.55,52.7,75.57199772,1502.646367,12.81085183,31.73743123,3.709922216,18.42250047,30,-31.588,66.574,0,66.574,-1.5,0,Conventional,63.4,4.9,1.5,317.07,475.605,Cut with Feed,66.574,Face Milling
