Timestamp (s),Code,Code,Code,Code,Code,Code,Code,Energy (J),Duration (s),Feed rate (mm/min),Spindle speed (RPM),Spindle Load,X Load,Y Load,Z Load,X (mm),Y (mm),dX (code) (mm),dY (code) (mm),Length of Cut XY (code) (mm),Z (mm),dZ (mm),Cutting Strategy,IdX (mm),IdY (mm),Depth of Cut(mm),Area of Cut (mm^2),Volume of Cut (mm^3),Cut / No Cut,Length of Cut XYZ (code) (mm),Modal G-Code
11.44,%,,,,,,,2.3,0.32,,,,3.96969697,6.96969697,16.18181818,0,0,0,0,,0,,,,,,,,,,Face Milling
11.76,G91,G28,Z0,M19,,,,5.57,0.95,1748.302083,26,10.32291667,4.760416667,5.802083333,20,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
12.71,G28,X0,Y0,,,,,23.06,0.62,10972.03175,0,0,62.74603175,36.6031746,17.01587302,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
13.33,G04,X1.0000,,,,,,32.03,2.15,0,0,0,16,14.8287037,18.14351852,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
15.48,G30,X0.0000,Y0.0000,,,,,9.28,0.57,0,0,0,16,16,18,0,0,0,0,0,0,0,,0,0,0,0,0,,0,Face Milling
16.05,G04,X1.0000,,,,,,5.41,0.31,553.15625,0,0,18.375,16.90625,17.96875,0,0,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
16.36,G90,G17,G00,X-36.5740,Y-31.5880,,,43.43,0.97,17520.37755,0,0,84.06122449,44.31632653,16.31632653,-36.574,-31.588,-36.574,-31.588,48.32658916,0,0,,0,0,0,0,0,No Cut - Rapid motion,48.32658916,Face Milling
17.33,G04,X1.0000,,,,,,4.42,0.93,136.7765957,5.29787234,1.170212766,9.085106383,4.70212766,16.81914894,-36.574,-31.588,0,0,0,0,0,,0,0,0,0,0,Dwell,0,Face Milling
18.26,G43,Z1.0000,H2,S1500,M3,,,1.89,0.62,13773.06349,971.984127,62.63492063,5.015873016,3,25.06349206,-36.574,-31.588,0,0,0,1,1,,0,0,0,0,0,No Cut - Rapid motion,1,Face Milling
18.88,M8,,,,,,,0.95,0.31,6082.78125,1499,5.96875,6,2.96875,18.875,-36.574,-31.588,0,0,0,1,0,,0,0,0,0,0,,0,Face Milling
